RecordIdentifier,Author,authID
oai:dash.harvard.edu:1/4214906,"Epstein, Lee",4714
oai:dash.harvard.edu:1/4214882,"Epstein, Lee",4714
oai:dash.harvard.edu:1/13457908,"Epstein, Lee",4714
oai:dash.harvard.edu:1/13457906,"Epstein, Lee",4714
oai:dash.harvard.edu:1/11688785,"Er, Suleyman",10799
oai:dash.harvard.edu:1/13478847,"Er, Suleyman",10799
oai:dash.harvard.edu:1/11708540,"Erazo, Tatiana",11263
oai:dash.harvard.edu:1/14065301,"Erb, Marcella L.",23736
oai:dash.harvard.edu:1/14065318,"Erbel, Raimund",23942
oai:dash.harvard.edu:1/4268288,"Ercolano, Barbara",4712
oai:dash.harvard.edu:1/14065323,"Erdman, Laura Kelly",24066
oai:dash.harvard.edu:1/5096608,"Erdman, Natasha",3431
oai:dash.harvard.edu:1/12785853,"Erdmann, Christopher",20168
oai:dash.harvard.edu:1/13596731,"Erdmann, J.",17745
oai:dash.harvard.edu:1/12717379,"Erdogan, Ayca",16479
oai:dash.harvard.edu:1/13596731,"Ereditato, A.",17746
oai:dash.harvard.edu:1/5343169,"Erev, Ido",7204
oai:dash.harvard.edu:1/12497937,"Ergintav, Semih",15952
oai:dash.harvard.edu:1/11879190,"Ericson, Jeff",12868
oai:dash.harvard.edu:1/11373151,"Eriksen, Thomas Hylland",10603
oai:dash.harvard.edu:1/13581121,"Erikson, Galina",22366
oai:dash.harvard.edu:1/12724028,"Erikson, Raymond L.",16653
oai:dash.harvard.edu:1/14065415,"Erikson, Raymond L.",16653
oai:dash.harvard.edu:1/4929134,"Erikson, Raymond Leo",6902
oai:dash.harvard.edu:1/8965559,"Erikson, Raymond Leo",6902
oai:dash.harvard.edu:1/8965560,"Erikson, Raymond Leo",6902
oai:dash.harvard.edu:1/10058467,"Erikson, Raymond Leo",6902
oai:dash.harvard.edu:1/11729584,"Erikson, Raymond Leo",6902
oai:dash.harvard.edu:1/13596731,"Eriksson, D.",17747
oai:dash.harvard.edu:1/13890642,"Eriksson, Johan",22862
oai:dash.harvard.edu:1/13383543,"Eriksson, Johan G.",21618
oai:dash.harvard.edu:1/12406899,"Erk, Susanne",15686
oai:dash.harvard.edu:1/2796947,"Erlebacher, Jonah",1272
oai:dash.harvard.edu:1/2794948,"Erlebacher, Jonah",1272
oai:dash.harvard.edu:1/2797366,"Erlebacher, Jonah",1272
oai:dash.harvard.edu:1/2870605,"Erlebacher, Jonah D.",1513
oai:dash.harvard.edu:1/2870606,"Erlebacher, Jonah D.",1513
oai:dash.harvard.edu:1/11211553,"Ernest, Holly B",6809
oai:dash.harvard.edu:1/13596731,"Ernst, J.",17748
oai:dash.harvard.edu:1/13579263,"Ernst, J. A.",20621
oai:dash.harvard.edu:1/13579264,"Ernst, J. A.",20621
oai:dash.harvard.edu:1/13579262,"Ernst, J. A.",20621
oai:dash.harvard.edu:1/13579267,"Ernst, J. A.",20621
oai:dash.harvard.edu:1/13579265,"Ernst, J. A.",20621
oai:dash.harvard.edu:1/13579266,"Ernst, J. A.",20621
oai:dash.harvard.edu:1/13579268,"Ernst, J. A.",20621
oai:dash.harvard.edu:1/13596731,"Ernst, M.",17749
oai:dash.harvard.edu:1/13596731,"Ernwein, J.",17750
oai:dash.harvard.edu:1/12658073,"Errard, J.",15139
oai:dash.harvard.edu:1/13596731,"Errede, D.",17751
oai:dash.harvard.edu:1/13596731,"Errede, S.",17752
oai:dash.harvard.edu:1/11717491,"Ersing, Ina",11677
oai:dash.harvard.edu:1/5343169,"Ert, Eyal",7205
oai:dash.harvard.edu:1/13596731,"Ertel, E.",17753
oai:dash.harvard.edu:1/4322932,"Ertmer, W.",4860
oai:dash.harvard.edu:1/4516631,"Ertz, Damien",1396
oai:dash.harvard.edu:1/2350494,"Erwin, A. R.",290
oai:dash.harvard.edu:1/14065304,"Escalante-Chong, Renan",23774
oai:dash.harvard.edu:1/13596731,"Escalier, M.",17754
oai:dash.harvard.edu:1/3710309,"Escarce, Jose J.",2754
oai:dash.harvard.edu:1/4554747,"Escarmis, Christina",4174
oai:dash.harvard.edu:1/3203265,"Eschbach, Karl",2796
oai:dash.harvard.edu:1/13596731,"Escobar, C.",17755
oai:dash.harvard.edu:1/2350219,"Escobar, C. O.",112
oai:dash.harvard.edu:1/2350577,"Escobar, C. O.",112
oai:dash.harvard.edu:1/2350216,"Escobar, C. O.",112
oai:dash.harvard.edu:1/2350494,"Escobar, C. O.",112
oai:dash.harvard.edu:1/11870348,"Escobar, C. O.",112
oai:dash.harvard.edu:1/11870336,"Escobar, C. O.",112
oai:dash.harvard.edu:1/11870343,"Escobar, C. O.",112
oai:dash.harvard.edu:1/11855771,"Escobar, Maria Josefina",12149
oai:dash.harvard.edu:1/13890642,"Escott-Price, Valentina",22863
oai:dash.harvard.edu:1/9949232,"Escrig, S.",9092
oai:dash.harvard.edu:1/9949233,"Escrig, Stéphane",9123
oai:dash.harvard.edu:1/9468170,"Escrig, Stephane Laurent",8631
oai:dash.harvard.edu:1/12785794,"Eskandar, Emad N",20026
oai:dash.harvard.edu:1/11879210,"Eskenazi, Brenda",12969
oai:dash.harvard.edu:1/11957131,"Eskes, H. J.",13890
oai:dash.harvard.edu:1/3597238,"Eskes, Henk J.",3824
oai:dash.harvard.edu:1/3445999,"Eskin, Alex",3523
oai:dash.harvard.edu:1/5339085,"Eskin, Eleazar",7450
oai:dash.harvard.edu:1/13383543,"Esko, Tonu",21534
oai:dash.harvard.edu:1/12785839,"Esko, Tõnu",20055
oai:dash.harvard.edu:1/13890642,"Esko, Tõnu",20055
oai:dash.harvard.edu:1/4101693,"Eso, Marta",4395
oai:dash.harvard.edu:1/3138323,"Esole, Mboyo",2368
oai:dash.harvard.edu:1/4481449,"Esole, Mboyo",2368
oai:dash.harvard.edu:1/11729538,"Espeland, Marianne",9605
oai:dash.harvard.edu:1/3710321,"Espelin, C. W.",2322
oai:dash.harvard.edu:1/12406899,"Espeseth, Thomas",15687
oai:dash.harvard.edu:1/2585485,"Espetvedt, Sissi",476
oai:dash.harvard.edu:1/2581622,"Espetvedt, Sissi",476
oai:dash.harvard.edu:1/3008263,"Espetvedt, Sissi E.",1589
oai:dash.harvard.edu:1/13596731,"Espinal Curull, X.",17756
oai:dash.harvard.edu:1/12313557,"Espinasa, Luis",14216
oai:dash.harvard.edu:1/13596731,"Esposito, B.",17757
oai:dash.harvard.edu:1/14068407,"Esposito, Paolo",11899
oai:dash.harvard.edu:1/11315420,"Esposti, F.",10372
oai:dash.harvard.edu:1/12406541,"Espreafico, Enilza M.",15388
oai:dash.harvard.edu:1/4341697,"Esquerdo, Gilbert A.",5164
oai:dash.harvard.edu:1/4341702,"Esquerdo, Gilbert A.",5164
oai:dash.harvard.edu:1/11738409,"Esser, G.",10135
oai:dash.harvard.edu:1/13890642,"Essioux, Laurent",22864
oai:dash.harvard.edu:1/8003959,"Esslinger, Tilman",7621
oai:dash.harvard.edu:1/13421134,"Esslinger, Tilman",7621
oai:dash.harvard.edu:1/11878854,"Estácio, Sílvia G.",12592
oai:dash.harvard.edu:1/12406901,"Estácio, Sílvia G.",12592
oai:dash.harvard.edu:1/12717448,"Esteban, Amandine",16545
oai:dash.harvard.edu:1/11878816,"Esteller, Manel",12481
oai:dash.harvard.edu:1/11879734,"Estep, Preston W.",13389
oai:dash.harvard.edu:1/3203278,"Estes, William",2502
oai:dash.harvard.edu:1/3203288,"Estes, William",2502
oai:dash.harvard.edu:1/3224731,"Estes, William",2502
oai:dash.harvard.edu:1/3351716,"Estes, William",2502
oai:dash.harvard.edu:1/11738409,"Estiarte, M.",10136
oai:dash.harvard.edu:1/4459988,"Esufali, Shameema",5510
oai:dash.harvard.edu:1/12785843,"Esvelt, Kevin M",20121
oai:dash.harvard.edu:1/11879741,"Esvelt, Kevin M.",13430
oai:dash.harvard.edu:1/11213359,"Esvelt, Kevin Michael",6984
oai:dash.harvard.edu:1/11729581,"Etezad-Heydari, Louis-Alexandre",9485
